application_num,decision_date,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lon,dest_lat,Destination,exporter_proxy,importer_proxy
180,7/7/2019,9992,Diesel,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",Z,16
181,7/7/2019,24514,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
181,7/7/2019,5021,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
182,7/7/2019,45984,Diesel,36.719051,45.215919,"Taman, Russia",45.035469,12.809800,"Aden, Yemen",K,2
183,7/7/2019,2600,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
184,7/7/2019,2000,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",O,5
185,7/7/2019,2350,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",O,5
186,7/10/2019,9748,Petrol,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",J,29
187,7/10/2019,11519,Diesel,56.752079,24.325871,"Sohar, Oman",43.752860,13.526220,"Hodeida, Yemen",J,29
188,7/12/2019,31116,Petrol,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",R,30
189,7/15/2019,3821,Mazout,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
19,12/6/2018,3100,Diesel,,,,44.201960,15.361980,"Nishtun, Yemen",,5
190,7/17/2019,15010,Petrol,48.082729,29.172529,"Jabel Ali, UAE",43.752860,13.526220,"Hodeida, Yemen",A,20
191,7/17/2019,15605,Diesel,55.302551,25.257111,"Al Hamriya, UAE",43.752860,13.526220,"Hodeida, Yemen",D,19
192,7/19/2019,4000,Diesel,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",G,5
193,7/19/2019,7236,Mazout,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
195,7/22/2019,9988,Diesel,,,,43.752860,13.526220,"Hodeida, Yemen",P,20
195,7/22/2019,17176,Petrol,,,,43.752860,13.526220,"Hodeida, Yemen",P,20
196,7/21/2019,43434,Mazout,56.350761,25.354851,"Khor Fakkan, UAE",45.035469,12.809800,"Aden, Yemen",K,2
197,7/22/2019,12984,Petrol,56.346218,25.144190,"Fujairah, UAE",49.123680,14.543720,"Mukalla, Yemen",Z,16
198,7/22/2019,8992,Diesel,55.420933,25.346254,"Sharjah, UAE",49.123680,14.543720,"Mukalla, Yemen",W,3
199,7/23/2019,42087,Diesel,55.302551,25.257111,"Al Hamriya, UAE",45.035469,12.809800,"Aden, Yemen",K,2
2,10/20/2018,8760,Petrol,,,,49.123680,14.543720,"Mukalla, Yemen",,3
20,12/8/2018,61449,Petrol,,,,45.035469,12.809800,"Aden, Yemen",,1
200,7/23/2019,60064,Petrol,48.082729,29.172529,"Jabel Ali, UAE",45.035469,12.809800,"Aden, Yemen",K,2
202,7/25/2019,4822,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
202,7/25/2019,11165,Mazout,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",A,7
203,7/24/2019,30031,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
204,7/28/2019,29259,Diesel,56.346218,25.144190,"Fujairah, UAE",43.752860,13.526220,"Hodeida, Yemen",T,24
205,7/26/2019,8278,Gas,29.916260,31.200170,"Suez Canal OPL, Egypt",43.752860,13.526220,"Hodeida, Yemen",M,19
206,7/31/2019,2500,Diesel,55.420933,25.346254,"Sharjah, UAE",44.201960,15.361980,"Nishtun, Yemen",K,23
