application_num,decision_date,offloading_port_cleaned_EN,loading_port_cleaned_EN,fuel_amount_clean,fuel_type_clean_EN,lon,lat,Origin,dest_lat,dest_lon,Destination,exporter_proxy,importer_proxy
131,4/24/2019,Hodeida,"Fujairah, UAE",11394,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
130,5/1/2019,Hodeida,"Fujairah, UAE",20474,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,AC,9
13,11/21/2018,Mukalla,,6400,Diesel,,,,14.5404328,49.127197,Mukalla,,5
128,4/30/2019,Nishtun,"Sohar, Oman",2600,Petrol,56.613922,24.486524,"Sohar, Oman",15.8224426,52.1872488,Nishtun,R,5
127,4/29/2019,Hodeida,"Fujairah, UAE",7172,Mazout,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,B,7
124,4/24/2019,Hodeida,"Fujairah, UAE",11394,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
123,4/24/2019,Hodeida,"Fujairah, UAE",17999,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
123,4/24/2019,Hodeida,"Fujairah, UAE",10000,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,S,21
122,4/22/2019,Mukalla,"Sohar, Oman",11380,Petrol,56.613922,24.486524,"Sohar, Oman",14.5404328,49.127197,Mukalla,Y,3
121,4/22/2019,Hodeida,"Sohar, Oman",3871,Petrol,56.613922,24.486524,"Sohar, Oman",14.7909118,42.9708838,Hodeida,V,25
12,11/16/2018,Aden,,89977,Diesel,,,,12.7854969,45.0186548,Aden,,1
12,11/16/2018,Aden,,1004,Aircraft fuel,,,,12.7854969,45.0186548,Aden,,1
119,4/18/2019,Aden,"Fujairah, UAE",60675,Diesel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,M,2
119,4/18/2019,Aden,"Fujairah, UAE",2266,Aircraft fuel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,M,2
117,4/18/2019,Hodeida,"Fujairah, UAE",14998,Diesel,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,Q,27
116,4/17/2019,Nishtun,,2500,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
115,4/17/2019,Aden,,37014,Mazout,,,,12.7854969,45.0186548,Aden,,2
114,6/4/2019,Hodeida,"Sharjah, UAE",29971,Diesel,55.3776082,25.3609963,"Sharjah, UAE",14.7909118,42.9708838,Hodeida,L,29
113,4/15/2019,Aden,,60435,Petrol,,,,12.7854969,45.0186548,Aden,,2
112,4/11/2019,Nishtun,,4741,Petrol,,,,15.8224426,52.1872488,Nishtun,,29
111,4/11/2019,Mukalla,,4480,Diesel,,,,14.5404328,49.127197,Mukalla,,3
110,4/11/2019,Mukalla,,10675,Petrol,,,,14.5404328,49.127197,Mukalla,,3
11,11/16/2018,Nishtun,,2945,Diesel,,,,15.8224426,52.1872488,Nishtun,,29
109,4/9/2019,Hodeida,,15000,Mazout,,,,14.7909118,42.9708838,Hodeida,,7
108,4/16/2019,Hodeida,"Sharjah, UAE",9555,Petrol,55.3776082,25.3609963,"Sharjah, UAE",14.7909118,42.9708838,Hodeida,L,29
107,4/9/2019,Nishtun,,3700,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
106,4/9/2019,Mukalla,,3990,Diesel,,,,14.5404328,49.127197,Mukalla,,16
106,4/9/2019,Mukalla,,9985,Petrol,,,,14.5404328,49.127197,Mukalla,,16
105,4/4/2019,Hodeida,,3805,Diesel,,,,14.7909118,42.9708838,Hodeida,,28
104,4/3/2019,Nishtun,,3000,Diesel,,,,15.8224426,52.1872488,Nishtun,,29
103,4/2/2019,Mukalla,,3340,Diesel,,,,14.5404328,49.127197,Mukalla,,3
102,4/1/2019,Nishtun,,4000,Diesel,,,,15.8224426,52.1872488,Nishtun,,5
101,3/29/2019,Aden,,43942,Diesel,,,,12.7854969,45.0186548,Aden,,2
100,3/28/2019,Mukalla,,2770,Diesel,,,,14.5404328,49.127197,Mukalla,,3
100,3/28/2019,Mukalla,,7186,Petrol,,,,14.5404328,49.127197,Mukalla,,3
10,11/8/2018,Nishtun,,23760,Diesel,,,,15.8224426,52.1872488,Nishtun,,3
1,10/20/2018,Mukalla,,5000,Petrol,,,,14.5404328,49.127197,Mukalla,,3
359,2/29/2020,Hodeida,"Fujairah, UAE",25992,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,Q,27
358,2/28/2020,Aden,"Al Hamriya, UAE",34995,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,M,1
357,2/26/2020,Aden,"Fujairah, UAE",36370,Diesel,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,F,12
357,2/26/2020,Aden,"Fujairah, UAE",21982,Petrol,56.343384,25.130988,"Fujairah, UAE",12.7854969,45.0186548,Aden,F,12
354,2/19/2020,Aden,"Novorossiysk, Russia",43825,Diesel,37.7619669,44.7154014,"Novorossiysk, Russia",12.7854969,45.0186548,Aden,AC,16
353,2/19/2020,Mukalla,"Jabel Ali, UAE",10300,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",14.5404328,49.127197,Mukalla,Y,3
352,2/19/2020,Aden,"Jabel Ali, UAE",30398,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",12.7854969,45.0186548,Aden,M,1
351,2/17/2020,Nishtun,"Al Hamriya, UAE",11171,Diesel,55.503616,25.464044,"Al Hamriya, UAE",15.8224426,52.1872488,Nishtun,I,5
350,2/15/2020,Hodeida,"Jabel Ali, UAE",13987,Petrol,55.0272904,24.9857145,"Jabel Ali, UAE",14.7909118,42.9708838,Hodeida,Q,27
349,2/15/2020,Hodeida,"Fujairah, UAE",29135,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
348,2/15/2020,Hodeida,"Fujairah, UAE",29585,Petrol,56.343384,25.130988,"Fujairah, UAE",14.7909118,42.9708838,Hodeida,V,25
347,2/14/2020,Nishtun,"Sharjah, UAE",2631,Diesel,55.3776082,25.3609963,"Sharjah, UAE",15.8224426,52.1872488,Nishtun,I,24
346,2/12/2020,Mukalla,"Fujairah, UAE",9506,Mazout,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,H,5
345,2/12/2020,Mukalla,"Fujairah, UAE",11607,Diesel,56.343384,25.130988,"Fujairah, UAE",14.5404328,49.127197,Mukalla,Y,3
340,2/7/2020,Aden,"Al Hamriya, UAE",2505,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,Z,31
339,2/7/2020,Aden,"Al Hamriya, UAE",2787,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,Z,31
335,1/31/2020,Aden,"Al Hamriya, UAE",5018,Diesel,55.503616,25.464044,"Al Hamriya, UAE",12.7854969,45.0186548,Aden,Z,31
334,1/29/2020,Mukalla,"Al Hamriya, UAE",9982,Petrol,55.503616,25.464044,"Al Hamriya, UAE",14.5404328,49.127197,Mukalla,Y,3
333,1/29/2020,Mukalla,"Al Hamriya, UAE",9373,Mazout,55.503616,25.464044,"Al Hamriya, UAE",14.5404328,49.127197,Mukalla,Y,3
